地点番号,管区コード,アメダス府県コード,観測所区分,カナ地点名,緯度,経度,漢字地点名,漢字官署名,都道府県振興局名,block_no,latitude,longtitude,府県名,番号
401,1,11,4,ﾜﾂｶﾅｲ,452490,1414070,稚内,稚内地方気象台,宗谷支庁,47401,45.415,141.67833333333334,,
401,1,11,4,ﾜﾂｶﾅｲ,452490,1414070,稚内,稚内地方気象台,宗谷総合,47401,45.415,141.67833333333334,,
402,1,11,5,ｷﾀﾐｴｻｼ,445640,1423510,北見枝幸,北見枝幸測候所,宗谷支庁,47402,44.94,142.585,,
402,1,11,8,ｷﾀﾐｴｻｼ,445640,1423510,北見枝幸,稚内地方気象台,宗谷支庁,47402,44.94,142.585,,
402,1,11,8,ｷﾀﾐｴｻｼ,445640,1423510,北見枝幸,稚内地方気象台,宗谷総合,47402,44.94,142.585,,
404,1,13,5,ﾊﾎﾞﾛ,442180,1414200,羽幌,羽幌測候所,留萌支庁,47404,44.36333333333334,141.7,,
404,1,13,8,ﾊﾎﾞﾛ,442180,1414200,羽幌,旭川地方気象台,留萌支庁,47404,44.36333333333334,141.7,,
404,1,13,8,ﾊﾎﾞﾛ,442180,1414200,羽幌,旭川地方気象台,留萌振興,47404,44.36333333333334,141.7,,
405,1,17,5,ｵｳﾑ,443480,1425780,雄武,雄武測候所,網走支庁,47405,44.58,142.96333333333334,,
405,1,17,8,ｵｳﾑ,443480,1425780,雄武,網走地方気象台,網走支庁,47405,44.58,142.96333333333334,,
405,1,17,8,ｵｳﾑ,443480,1425780,雄武,網走地方気象台,オホーツ,47405,44.58,142.96333333333334,,
406,1,13,5,ﾙﾓｲ,435670,1413790,留萌,留萌測候所,留萌支庁,47406,43.945,141.63166666666666,,
406,1,13,8,ﾙﾓｲ,435670,1413790,留萌,旭川地方気象台,留萌支庁,47406,43.945,141.63166666666666,,
406,1,13,8,ﾙﾓｲ,435670,1413790,留萌,旭川地方気象台,留萌振興,47406,43.945,141.63166666666666,,
407,1,12,4,ｱｻﾋｶﾜ,434630,1422210,旭川,旭川地方気象台,上川支庁,47407,43.77166666666667,142.36833333333334,,
407,1,12,4,ｱｻﾋｶﾜ,434540,1422230,旭川,旭川地方気象台,上川支庁,47407,43.75666666666667,142.37166666666667,,
407,1,12,4,ｱｻﾋｶﾜ,434540,1422230,旭川,旭川地方気象台,上川総合,47407,43.75666666666667,142.37166666666667,,
409,1,17,4,ｱﾊﾞｼﾘ,440100,1441670,網走,網走地方気象台,網走支庁,47409,44.016666666666666,144.27833333333334,,
409,1,17,4,ｱﾊﾞｼﾘ,440100,1441670,網走,網走地方気象台,オホーツ,47409,44.016666666666666,144.27833333333334,,
411,1,16,5,ｵﾀﾙ,431090,1410100,小樽,小樽測候所,後志支庁,47411,43.181666666666665,141.01666666666668,,
411,1,16,8,ｵﾀﾙ,431090,1410100,小樽,札幌管区気象台,後志支庁,47411,43.181666666666665,141.01666666666668,,
411,1,16,8,ｵﾀﾙ,431090,1410100,小樽,札幌管区気象台,後志総合,47411,43.181666666666665,141.01666666666668,,
411,1,16,8,ｵﾀﾙ,431090,1410090,小樽,札幌管区気象台,後志総合,47411,43.181666666666665,141.015,,
412,1,14,1,ｻﾂﾎﾟﾛ,430360,1411970,札幌,札幌管区気象台,石狩支庁,47412,43.06,141.32833333333335,,
412,1,14,1,ｻﾂﾎﾟﾛ,430360,1411970,札幌,札幌管区気象台,石狩振興,47412,43.06,141.32833333333335,,
413,1,15,5,ｲﾜﾐｻﾞﾜ,431270,1414710,岩見沢,岩見沢測候所,空知支庁,47413,43.211666666666666,141.785,,
413,1,15,8,ｲﾜﾐｻﾞﾜ,431270,1414710,岩見沢,札幌管区気象台,空知支庁,47413,43.211666666666666,141.785,,
413,1,15,8,ｲﾜﾐｻﾞﾜ,431270,1414710,岩見沢,札幌管区気象台,空知総合,47413,43.211666666666666,141.785,,
417,1,20,5,ｵﾋﾞﾋﾛ,425530,1431270,帯広,帯広測候所,十勝支庁,47417,42.92166666666667,143.21166666666667,,
417,1,20,5,ｵﾋﾞﾋﾛ,425530,1431270,帯広,帯広測候所,十勝総合,47417,42.92166666666667,143.21166666666667,,
418,1,19,4,ｸｼﾛ,425910,1442370,釧路,釧路地方気象台,釧路支庁,47418,42.985,144.395,,
418,1,19,4,ｸｼﾛ,425910,1442260,釧路,釧路地方気象台,釧路支庁,47418,42.985,144.37666666666667,,
418,1,19,4,ｸｼﾛ,425910,1442260,釧路,釧路地方気象台,釧路総合,47418,42.985,144.37666666666667,,
420,1,18,5,ﾈﾑﾛ,431980,1453510,根室,根室測候所,根室支庁,47420,43.33,145.585,,
420,1,18,5,ﾈﾑﾛ,431980,1453510,根室,根室測候所,根室振興,47420,43.33,145.585,,
420,1,18,8,ﾈﾑﾛ,431980,1453510,根室,釧路地方気象台,根室振興,47420,43.33,145.585,,
421,1,16,5,ｽﾂﾂ,424710,1401370,寿都,寿都測候所,後志支庁,47421,42.785,140.22833333333332,,
421,1,16,5,ｽﾂﾂ,424770,1401340,寿都,寿都測候所,後志支庁,47421,42.795,140.22333333333333,,
421,1,16,8,ｽﾂﾂ,424770,1401340,寿都,札幌管区気象台,後志支庁,47421,42.795,140.22333333333333,,
421,1,16,8,ｽﾂﾂ,424770,1401340,寿都,札幌管区気象台,後志総合,47421,42.795,140.22333333333333,,
423,1,21,4,ﾑﾛﾗﾝ,421870,1405850,室蘭,室蘭地方気象台,胆振支庁,47423,42.31166666666667,140.975,,
423,1,21,4,ﾑﾛﾗﾝ,421870,1405850,室蘭,室蘭地方気象台,胆振総合,47423,42.31166666666667,140.975,,
424,1,21,5,ﾄﾏｺﾏｲ,423740,1413280,苫小牧,苫小牧測候所,胆振支庁,47424,42.623333333333335,141.54666666666665,,
424,1,21,8,ﾄﾏｺﾏｲ,423740,1413280,苫小牧,室蘭地方気象台,胆振支庁,47424,42.623333333333335,141.54666666666665,,
424,1,21,8,ﾄﾏｺﾏｲ,423740,1413280,苫小牧,室蘭地方気象台,胆振総合,47424,42.623333333333335,141.54666666666665,,
426,1,22,5,ｳﾗｶﾜ,420970,1424660,浦河,浦河測候所,日高支庁,47426,42.16166666666667,142.77666666666667,,
426,1,22,8,ｳﾗｶﾜ,420970,1424660,浦河,室蘭地方気象台,日高支庁,47426,42.16166666666667,142.77666666666667,,
